,document_id,attribute,code_lev1,code_lev2,snippet_left,snippet_right,group_folder
1431,Visualizing the Spatiotemporal Trends of Thermal Characteristics in a Peatland Plantation Forest in Indonesia~ Pilot Test Using Unmanned Aerial Systems (UASs),"Plant func. type
composition",SENS (Drone sensor),RGB,,,Drone-assisted studies
1432,Visualizing the Spatiotemporal Trends of Thermal Characteristics in a Peatland Plantation Forest in Indonesia~ Pilot Test Using Unmanned Aerial Systems (UASs),"Plant func. type
composition",SENS (Drone sensor),Thermal,,,Drone-assisted studies
1433,Visualizing the Spatiotemporal Trends of Thermal Characteristics in a Peatland Plantation Forest in Indonesia~ Pilot Test Using Unmanned Aerial Systems (UASs),"Plant func. type
composition",TEMP (Temporal resolution of information),2-3 acq.,,,Drone-assisted studies
1435,Wildlife habitat condition in open pine woodlands~ Field data to refine management targets,"Plant func. type
composition",BIOME (Biome of ecosites),Shrubland,,,Field-based studies
1436,Wildlife habitat condition in open pine woodlands~ Field data to refine management targets,"Plant func. type
composition",FIELD (Field sampling data),Plant data,,,Field-based studies
1437,Wildlife habitat condition in open pine woodlands~ Field data to refine management targets,"Plant func. type
composition",INTEG (Data integration),With spatial RS data,,,Field-based studies
1439,Wildlife habitat condition in open pine woodlands~ Field data to refine management targets,"Plant func. type
composition",LOC (Location of ecosites),North America,,,Field-based studies
1440,Wildlife habitat condition in open pine woodlands~ Field data to refine management targets,"Plant func. type
composition",SAMPL (Number of samples),> 500 samp.,,,Field-based studies
1445,Determination of Riparian Vegetation Biomass from an Unmanned Aerial Vehicle (UAV),"Productivity
(Health/Biomass)",AREA (Total area covered),< 50 ha,,,Drone-assisted studies
1446,Determination of Riparian Vegetation Biomass from an Unmanned Aerial Vehicle (UAV),"Productivity
(Health/Biomass)",BIOME (Biome of ecosites),Wetland/riparian,,,Drone-assisted studies
1448,Determination of Riparian Vegetation Biomass from an Unmanned Aerial Vehicle (UAV),"Productivity
(Health/Biomass)",FIELD (Field sampling data),Plant data,,,Drone-assisted studies
1450,Determination of Riparian Vegetation Biomass from an Unmanned Aerial Vehicle (UAV),"Productivity
(Health/Biomass)",LOC (Location of ecosites),Europe,,,Drone-assisted studies
1453,Determination of Riparian Vegetation Biomass from an Unmanned Aerial Vehicle (UAV),"Productivity
(Health/Biomass)",RES (Spatial resolution of drone information),< 5 cm,,,Drone-assisted studies
1454,Determination of Riparian Vegetation Biomass from an Unmanned Aerial Vehicle (UAV),"Productivity
(Health/Biomass)",SAMPL (Number of samples),100-250 samp.,,,Drone-assisted studies
1455,Determination of Riparian Vegetation Biomass from an Unmanned Aerial Vehicle (UAV),"Productivity
(Health/Biomass)",SENS (Drone sensor),RGB,,,Drone-assisted studies
1456,Determination of Riparian Vegetation Biomass from an Unmanned Aerial Vehicle (UAV),"Productivity
(Health/Biomass)",SUCC (Successional stages of ecosites),Climax,,,Drone-assisted studies
1457,Determination of Riparian Vegetation Biomass from an Unmanned Aerial Vehicle (UAV),"Productivity
(Health/Biomass)",SUCC (Successional stages of ecosites),Intermediate,,,Drone-assisted studies
1458,Determination of Riparian Vegetation Biomass from an Unmanned Aerial Vehicle (UAV),"Productivity
(Health/Biomass)",TEMP (Temporal resolution of information),1 acq.,,,Drone-assisted studies
1463,MONITORING PHENOLOGY OF FLOODPLAIN GRASSLAND AND HERBACEOUS VEGETATION WITH UAV IMAGERY,"Productivity
(Health/Biomass)",AREA (Total area covered),100-250 ha,,,Drone-assisted studies
1464,MONITORING PHENOLOGY OF FLOODPLAIN GRASSLAND AND HERBACEOUS VEGETATION WITH UAV IMAGERY,"Productivity
(Health/Biomass)",BIOME (Biome of ecosites),Grassland,,,Drone-assisted studies
1465,MONITORING PHENOLOGY OF FLOODPLAIN GRASSLAND AND HERBACEOUS VEGETATION WITH UAV IMAGERY,"Productivity
(Health/Biomass)",FIELD (Field sampling data),Plant data,,,Drone-assisted studies
1466,MONITORING PHENOLOGY OF FLOODPLAIN GRASSLAND AND HERBACEOUS VEGETATION WITH UAV IMAGERY,"Productivity
(Health/Biomass)",LOC (Location of ecosites),Europe,,,Drone-assisted studies
1467,MONITORING PHENOLOGY OF FLOODPLAIN GRASSLAND AND HERBACEOUS VEGETATION WITH UAV IMAGERY,"Productivity
(Health/Biomass)",SAMPL (Number of samples),< 50 samp.,,,Drone-assisted studies
1468,MONITORING PHENOLOGY OF FLOODPLAIN GRASSLAND AND HERBACEOUS VEGETATION WITH UAV IMAGERY,"Productivity
(Health/Biomass)",SEAS (Season of data collection),Core,,,Drone-assisted studies
1469,MONITORING PHENOLOGY OF FLOODPLAIN GRASSLAND AND HERBACEOUS VEGETATION WITH UAV IMAGERY,"Productivity
(Health/Biomass)",SEAS (Season of data collection),Dormant,,,Drone-assisted studies
1470,MONITORING PHENOLOGY OF FLOODPLAIN GRASSLAND AND HERBACEOUS VEGETATION WITH UAV IMAGERY,"Productivity
(Health/Biomass)",SEAS (Season of data collection),Spring,,,Drone-assisted studies
1472,MONITORING PHENOLOGY OF FLOODPLAIN GRASSLAND AND HERBACEOUS VEGETATION WITH UAV IMAGERY,"Productivity
(Health/Biomass)",TEMP (Temporal resolution of information),> 6 acq.,,,Drone-assisted studies
1473,MONITORING PHENOLOGY OF FLOODPLAIN GRASSLAND AND HERBACEOUS VEGETATION WITH UAV IMAGERY,Vegetation structure,AREA (Total area covered),100-250 ha,,,Drone-assisted studies
1474,MONITORING PHENOLOGY OF FLOODPLAIN GRASSLAND AND HERBACEOUS VEGETATION WITH UAV IMAGERY,Vegetation structure,BIOME (Biome of ecosites),Grassland,,,Drone-assisted studies
1475,MONITORING PHENOLOGY OF FLOODPLAIN GRASSLAND AND HERBACEOUS VEGETATION WITH UAV IMAGERY,Vegetation structure,FIELD (Field sampling data),Plant data,,,Drone-assisted studies
1476,MONITORING PHENOLOGY OF FLOODPLAIN GRASSLAND AND HERBACEOUS VEGETATION WITH UAV IMAGERY,Vegetation structure,LOC (Location of ecosites),Europe,,,Drone-assisted studies
1477,MONITORING PHENOLOGY OF FLOODPLAIN GRASSLAND AND HERBACEOUS VEGETATION WITH UAV IMAGERY,Vegetation structure,SAMPL (Number of samples),< 50 samp.,,,Drone-assisted studies
1478,MONITORING PHENOLOGY OF FLOODPLAIN GRASSLAND AND HERBACEOUS VEGETATION WITH UAV IMAGERY,Vegetation structure,SEAS (Season of data collection),Core,,,Drone-assisted studies
1479,MONITORING PHENOLOGY OF FLOODPLAIN GRASSLAND AND HERBACEOUS VEGETATION WITH UAV IMAGERY,Vegetation structure,SEAS (Season of data collection),Dormant,,,Drone-assisted studies
1480,MONITORING PHENOLOGY OF FLOODPLAIN GRASSLAND AND HERBACEOUS VEGETATION WITH UAV IMAGERY,Vegetation structure,SEAS (Season of data collection),Spring,,,Drone-assisted studies
1482,MONITORING PHENOLOGY OF FLOODPLAIN GRASSLAND AND HERBACEOUS VEGETATION WITH UAV IMAGERY,Vegetation structure,TEMP (Temporal resolution of information),> 6 acq.,,,Drone-assisted studies
1487,Seasonality and Characterization Mapping of Restored Tidal Marsh by NDVI Imageries Coupling UAVs and Multispectral Camera,Species composition,AREA (Total area covered),< 50 ha,,,Drone-assisted studies
1489,Seasonality and Characterization Mapping of Restored Tidal Marsh by NDVI Imageries Coupling UAVs and Multispectral Camera,Species composition,Complexity,Positive sentiment,,,Drone-assisted studies
1490,Seasonality and Characterization Mapping of Restored Tidal Marsh by NDVI Imageries Coupling UAVs and Multispectral Camera,Species composition,FIELD (Field sampling data),Plant data,,,Drone-assisted studies
1492,Seasonality and Characterization Mapping of Restored Tidal Marsh by NDVI Imageries Coupling UAVs and Multispectral Camera,Species composition,LOC (Location of ecosites),North America,,,Drone-assisted studies
1494,Seasonality and Characterization Mapping of Restored Tidal Marsh by NDVI Imageries Coupling UAVs and Multispectral Camera,Species composition,RES (Spatial resolution of drone information),< 5 cm,,,Drone-assisted studies
1495,Seasonality and Characterization Mapping of Restored Tidal Marsh by NDVI Imageries Coupling UAVs and Multispectral Camera,Species composition,SAMPL (Number of samples),< 50 samp.,,,Drone-assisted studies
1496,Seasonality and Characterization Mapping of Restored Tidal Marsh by NDVI Imageries Coupling UAVs and Multispectral Camera,Species composition,SCALA (Scalability),Negative sentiment,,,Drone-assisted studies
1497,Seasonality and Characterization Mapping of Restored Tidal Marsh by NDVI Imageries Coupling UAVs and Multispectral Camera,Species composition,SEAS (Season of data collection),Core,,,Drone-assisted studies
1498,Seasonality and Characterization Mapping of Restored Tidal Marsh by NDVI Imageries Coupling UAVs and Multispectral Camera,Species composition,SEAS (Season of data collection),Dormant,,,Drone-assisted studies
1499,Seasonality and Characterization Mapping of Restored Tidal Marsh by NDVI Imageries Coupling UAVs and Multispectral Camera,Species composition,SEAS (Season of data collection),Spring,,,Drone-assisted studies
1500,Seasonality and Characterization Mapping of Restored Tidal Marsh by NDVI Imageries Coupling UAVs and Multispectral Camera,Species composition,SENS (Drone sensor),Multispec.,,,Drone-assisted studies
1501,Seasonality and Characterization Mapping of Restored Tidal Marsh by NDVI Imageries Coupling UAVs and Multispectral Camera,Species composition,SENS (Drone sensor),RGB,,,Drone-assisted studies
1502,Seasonality and Characterization Mapping of Restored Tidal Marsh by NDVI Imageries Coupling UAVs and Multispectral Camera,Species composition,TEMP (Temporal resolution of information),4-5 acq.,,,Drone-assisted studies
1511,Augmenting size models for Pinus strobiformis seedlings using dimensional estimates from unmanned aircraft systems,"Individuals
(Indicators/Invasives)",AREA (Total area covered),< 50 ha,,,Drone-assisted studies
1513,Augmenting size models for Pinus strobiformis seedlings using dimensional estimates from unmanned aircraft systems,"Individuals
(Indicators/Invasives)",BIOME (Biome of ecosites),Conif. forest,,,Drone-assisted studies
1516,Augmenting size models for Pinus strobiformis seedlings using dimensional estimates from unmanned aircraft systems,"Individuals
(Indicators/Invasives)",LOC (Location of ecosites),North America,,,Drone-assisted studies
1518,Augmenting size models for Pinus strobiformis seedlings using dimensional estimates from unmanned aircraft systems,"Individuals
(Indicators/Invasives)",RES (Spatial resolution of drone information),< 5 cm,,,Drone-assisted studies
1519,Augmenting size models for Pinus strobiformis seedlings using dimensional estimates from unmanned aircraft systems,"Individuals
(Indicators/Invasives)",SEAS (Season of data collection),Dormant,,,Drone-assisted studies
1523,Augmenting size models for Pinus strobiformis seedlings using dimensional estimates from unmanned aircraft systems,"Individuals
(Indicators/Invasives)",TEMP (Temporal resolution of information),2-3 acq.,,,Drone-assisted studies
1535,Monitoring the structure of regenerating vegetation using drone-based digital aerial photogrammetry,Vegetation structure,AREA (Total area covered),< 50 ha,,,Drone-assisted studies
1537,Monitoring the structure of regenerating vegetation using drone-based digital aerial photogrammetry,Vegetation structure,BIOME (Biome of ecosites),Conif. forest,,,Drone-assisted studies
1538,Monitoring the structure of regenerating vegetation using drone-based digital aerial photogrammetry,Vegetation structure,Complexity,Neutral sentiment,,,Drone-assisted studies
1539,Monitoring the structure of regenerating vegetation using drone-based digital aerial photogrammetry,Vegetation structure,FIELD (Field sampling data),Plant data,,,Drone-assisted studies
1540,Monitoring the structure of regenerating vegetation using drone-based digital aerial photogrammetry,Vegetation structure,Complexity,Positive sentiment,,,Drone-assisted studies
